Team,NET,Q_SCORE,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L
Valparaiso,207,-0.8275862068965517,0,3,1,6,3,6,8,2
Vanderbilt,66,0.45454545454545453,3,11,3,3,6,2,5,0
Vermont,52,0.71875,0,1,1,1,7,2,19,1
Villanova,8,1.9090909090909092,7,6,10,1,4,0,5,0
VCU,56,1.0333333333333334,3,3,3,5,11,1,4,0
VMI,165,-0.8214285714285714,1,1,2,2,4,6,6,6
Virginia Tech,27,0.8571428571428571,3,5,6,5,7,2,7,0
Virginia,83,0.53125,4,7,3,1,5,4,7,1
Wagner,135,0.3076923076923077,1,1,0,1,2,2,17,2
Wake Forest,48,0.84375,1,4,4,3,9,2,9,0
Washington St,61,0.2727272727272727,0,6,4,4,9,3,6,1
Washington,110,0.21875,0,8,4,3,9,3,4,1
Weber St,167,-0.3870967741935484,0,1,1,3,3,3,15,5
West Virginia,78,0.5151515151515151,2,16,6,1,1,0,7,0
W Carolina,287,-1.4666666666666666,0,2,2,2,0,12,8,4
W Illinois,225,-0.9310344827586207,0,2,0,2,4,5,10,6
W Kentucky,126,-0.23333333333333334,0,2,0,7,5,3,12,1
W Michigan,328,-1.8888888888888888,0,4,0,5,1,4,5,8
Wichita St,87,0.10714285714285714,1,4,2,6,6,3,6,0
William & Mary,340,-2.5483870967741935,0,3,0,2,2,10,2,12
Winthrop,151,0.14285714285714285,0,3,1,2,4,2,14,2
Wisconsin,24,1.8064516129032258,9,3,7,2,4,2,4,0
Wofford,107,-0.3333333333333333,0,1,0,5,6,6,11,1
Wright St,191,-0.5757575757575758,0,1,0,0,5,5,15,7
Wyoming,50,1.25,4,5,7,1,3,2,10,0
Xavier,40,0.8387096774193549,5,8,4,3,5,2,4,0
Yale,142,0.0,0,4,1,1,5,5,12,1
Youngstown St,249,-1.0333333333333334,0,0,0,2,0,5,16,7
