Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
78,St. Bonaventure,A10,23-10,+10.71,109.2,98.5,65.7,+.100,+4.94,104.8,99.8,+1.64
79,Colorado,P12,21-12,+10.64,106.5,95.9,67.4,+.041,+5.01,105.5,100.5,-7.62
80,New Mexico St.12,WAC,27-7,+10.61,107.1,96.5,66.1,+.085,+1.21,102.5,101.3,+3.48
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
81,South Dakota St.13,Sum,30-5,+10.58,115.4,104.8,69.4,+.054,-4.16,102.9,107.1,+3.60
82,Oregon,P12,20-15,+10.33,110,99.6,67.9,+.014,+7.47,106.3,98.8,+3.17
83,Maryland,B10,15-17,+10.06,109.4,99.3,66.6,-0.035,+9.02,108.5,99.5,-0.52
84,Drake,MVC,25-11,+9.48,108.8,99.3,66.2,-0.006,+0.69,103.7,103,-4.51
85,Richmond12,A10,24-13,+9.45,108.1,98.7,66.8,+.061,+5.07,105.5,100.5,+2.42
86,Belmont,OVC,25-8,+9.43,108.5,99,68.9,+.066,-1.97,101.5,103.5,+5.30
87,Northwestern,B10,15-16,+9.38,106.6,97.2,67.7,-0.077,+7.86,107.8,100,-11.01
88,Penn St.,B10,14-17,+9.31,105.3,96,62,-0.037,+9.40,109.4,100,-2.83
89,Iona,MAAC,25-8,+8.95,108,99,69.2,-0.006,-0.97,101.7,102.7,+3.66
90,UNLV,MWC,18-14,+8.79,107.5,98.7,66.2,-0.02,+4.22,104.1,99.9,+1.18
91,Northern Iowa,MVC,20-12,+8.45,110.6,102.2,67.3,+.040,+4.16,104.7,100.6,+4.37
92,Middle Tennessee,CUSA,26-11,+8.22,106.6,98.4,67.1,-0.014,-1.41,102.5,103.9,-1.24
93,Grand Canyon,WAC,23-8,+8.11,104.7,96.5,65.5,+.009,-3.55,99.7,103.3,-7
94,Wichita St.,Amer,15-13,+8.11,104,95.9,66.9,-0.037,+4.61,104.6,100,+1.68
95,Toledo,MAC,26-8,+8.04,110.2,102.1,68.8,+.039,-3.93,101.9,105.8,+2.05
96,Bradley,MVC,17-14,+7.99,104.8,96.8,67.2,-0.09,+1.21,103.7,102.5,-2.27
97,Arizona St.,P12,14-17,+7.94,101.2,93.2,67.3,+.005,+9.71,107.4,97.7,+8.35
98,Tulane,Amer,14-15,+7.79,108.8,101,68,-0.067,+4.65,104.2,99.6,-2
99,South Carolina,SEC,18-13,+7.53,101.5,93.9,70.5,+.105,+8.85,107.7,98.8,-0.24
100,Louisiana Tech,CUSA,24-10,+7.30,105.6,98.3,68.5,+.025,-0.51,102.9,103.4,+0.48
101,Cincinnati,Amer,18-15,+7.24,104.6,97.3,67.6,-0.051,+2.81,103.3,100.5,-5.61
102,Saint Peter's15,MAAC,22-12,+7.24,100.3,93,65.9,+.018,+0.25,103.1,102.8,+3.97
103,DePaul,BE,15-16,+6.74,106.9,100.2,68.8,-0.025,+6.63,105.9,99.3,-7.91
104,UCF,Amer,18-12,+6.27,106.6,100.3,67.4,+.054,+3.68,103.4,99.7,-3.64
105,Florida St.,ACC,17-14,+6.20,105.3,99.1,67.8,+.075,+7.96,109.1,101.1,+0.04
106,Stanford,P12,16-16,+6.09,105.2,99.1,65.8,+.075,+8.67,106.8,98.2,+1.52
107,Princeton,Ivy,23-7,+6.03,112.3,106.3,66.9,+.040,-4.04,100.9,105,-4.95
108,Mississippi,SEC,13-19,+6.02,105.7,99.7,65.2,-0.07,+7.43,106.2,98.8,-1.8
109,Minnesota,B10,13-17,+5.18,107.1,101.9,65.1,+.006,+8.87,107.8,98.9,-3.69
110,Washington,P12,17-15,+5.17,104.1,98.9,69.5,+.078,+5.82,105.9,100.1,-2.3
111,Wofford,SC,19-13,+5.03,106.5,101.5,64.2,-0.031,-0.29,104.4,104.7,-0.3
112,Western Kentucky,CUSA,19-13,+4.90,106.6,101.7,68.6,-0.033,-1.24,102.3,103.5,-1.29
113,George Mason,A10,14-16,+4.84,105.9,101.1,64.8,-0.108,+1.81,103.9,102.1,-1.26
114,Boston College,ACC,13-20,+4.55,104.5,100,64.9,-0.08,+5.61,105.7,100.1,-6.99
115,Nevada,MWC,13-18,+4.55,106.6,102,70.2,-0.035,+6.90,106.2,99.3,+4.11
116,Temple,Amer,17-12,+4.48,102.1,97.7,66.3,+.083,+3.71,103.9,100.2,-1.69
117,Colgate14,Pat,23-12,+4.41,108.2,103.8,67.2,-0.076,-7.4,99.3,106.7,+2.10
118,Morehead St.,OVC,23-11,+4.35,103.4,99.1,64.8,+.024,-3.08,100.7,103.8,+3.68
119,Utah Valley,WAC,20-12,+4.33,102.7,98.3,65.8,-0.011,-1.13,101.5,102.6,+2.18
120,Hofstra,CAA,21-11,+3.97,108.8,104.9,69,+.060,+0.21,103.9,103.7,+5.38
,,,,,,,,,Strength of Schedule,,,NCSOS
